no,Time,POI,UserID/MemID,設置點,緯度,經度,BPL UID,age,0(男)/1(女),天氣
4653,2022/4/26 18:38,"0150deb7d0,0139",U0b14300de9a4d57d38b5599bb17c5fc4,紫光複合式餐飲,23.56601,119.56687,473945,72,1,晴多雲
84,2022/2/1 20:07,"0150deb7d0,0038",Ucdba1bf15e1eb63bbe2a6bc301d768d0,石滬廣場站,23.56312198,119.5648365,227218,62,1,風雨
285,2022/2/12 11:29,"0150deb7d0,0258",Ucdba1bf15e1eb63bbe2a6bc301d768d0,曬食光餐飲店,23.56639,119.56396,254761,62,1,風
783,2022/2/19 18:39,"0150deb7d0,0330",Ucdba1bf15e1eb63bbe2a6bc301d768d0,招柴莉莉,23.57278,119.57504,279230,62,1,風轉小雨
786,2022/2/19 19:02,"0150deb7d0,0266",Ucdba1bf15e1eb63bbe2a6bc301d768d0,外垵福氣刈包,23.56469,119.47946,279321,62,1,風轉小雨
1064,2022/2/22 18:45,"0150deb7d0,0338",Ucdba1bf15e1eb63bbe2a6bc301d768d0,曾記滿福堂擔仔麵,23.57406,119.57323,288705,62,1,雨
1190,2022/2/24 14:07,"0150deb7d0,0207",Ucdba1bf15e1eb63bbe2a6bc301d768d0,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,293713,62,1,風
1194,2022/2/24 14:17,"0150deb7d0,0202",Ucdba1bf15e1eb63bbe2a6bc301d768d0,原豆工坊咖啡專賣店,23.56409,119.56508,293764,62,1,風
1199,2022/2/24 14:45,"0150deb7d0,0252",Ucdba1bf15e1eb63bbe2a6bc301d768d0,飛特潛艦Victor Johni’R,23.56737,119.56745,293867,62,1,風
1566,2022/2/4 11:11,"0150deb7d0,0062",Ucdba1bf15e1eb63bbe2a6bc301d768d0,小和食光輕食館,23.57465715,119.5734249,233231,62,1,風
2229,2022/3/11 00:57,"0150deb7d0,0436",Ucdba1bf15e1eb63bbe2a6bc301d768d0,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,340585,62,1,晴
2673,2022/3/18 00:20,"0150deb7d0,0165",Ucdba1bf15e1eb63bbe2a6bc301d768d0,熊掌心健康果茶,23.56358,119.56499,362203,62,1,陰
2677,2022/3/18 00:37,"0150deb7d0,0152",Ucdba1bf15e1eb63bbe2a6bc301d768d0,邁泰MAI TAI THAI TEA,23.56667,119.56486,362218,62,1,陰
3115,2022/3/25 11:55,"0150deb7d0,0157",Ucdba1bf15e1eb63bbe2a6bc301d768d0,鮮食堂海鮮蒸鍋,23.56566,119.56462,383706,62,1,陰
3117,2022/3/25 00:31,"0150deb7d0,0360",Ucdba1bf15e1eb63bbe2a6bc301d768d0,芳遠水果行,23.56751,119.56721,382745,62,1,陰
3550,2022/3/4 14:14,"0150deb7d0,0048",Ucdba1bf15e1eb63bbe2a6bc301d768d0,小門鯨魚洞站,23.65265094,119.5174826,319669,62,1,晴
4196,2022/4/15 19:13,"0150deb7d0,0305",Ucdba1bf15e1eb63bbe2a6bc301d768d0,桃太郎日式料理,23.56613,119.56468,446291,62,1,風
4790,2022/4/3 20:00,"0150deb7d0,0328",Ucdba1bf15e1eb63bbe2a6bc301d768d0,瑞師父海菜煎餅,23.56579,119.56542,411927,62,1,陰風
4920,2022/4/5 21:20,"0150deb7d0,0124",Ucdba1bf15e1eb63bbe2a6bc301d768d0,峰鮮宴隱市食堂,23.56359,119.5808,417528,62,1,陰多雲
87,2022/2/1 08:36,"0150deb7d0,0189",U6578f650fb2e12f080ace324fd338c80,旭西餅舖,23.58575,119.65961,225513,19,1,風雨
89,2022/2/1 09:00,"0150deb7d0,0282",U7676d997af8f09860c497735040717d5,新臺澎海產購物中心,23.56733,119.56717,225555,24,0,風雨
165,2022/2/10 18:05,"0150deb7d0,0218",U7676d997af8f09860c497735040717d5,滷底撈-澎湖店,23.56499,119.58107,249755,24,0,陰風 
277,2022/2/12 22:30,"0150deb7d0,0360",U7676d997af8f09860c497735040717d5,芳遠水果行,23.56751,119.56721,257153,24,0,風
1428,2022/2/28 13:42,"0150deb7d0,0116",U7676d997af8f09860c497735040717d5,金醬府,23.56734,119.5729,306449,24,0,晴多雲
1813,2022/2/7 15:05,"0150deb7d0,0207",U7676d997af8f09860c497735040717d5,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,241241,24,0,雨
2072,2022/3/1 15:56,"0150deb7d0,0027",U7676d997af8f09860c497735040717d5,五鮮上醬海產專賣,23.56580466,119.5654261,310424,24,0,多雲陰
2480,2022/3/15 16:49,"0150deb7d0,0374",U7676d997af8f09860c497735040717d5,奶油蝴蝶烘焙坊,23.57647,119.57387,354491,24,0,多雲
2682,2022/3/18 14:51,"0150deb7d0,0197",U7676d997af8f09860c497735040717d5,嚐香聚牛肉麵,23.57425,119.57308,363412,24,0,陰
3845,2022/3/9 14:26,"0150deb7d0,0246",U7676d997af8f09860c497735040717d5,達咖啡,23.56737,119.56745,335226,24,0,晴多雲
3861,2022/3/9 17:25,"0150deb7d0,0333",U7676d997af8f09860c497735040717d5,光和咖啡,23.56495,119.58092,335811,24,0,晴多雲
4017,2022/4/11 17:34,"0150deb7d0,0262",U7676d997af8f09860c497735040717d5,登峰藝品行(登峰特產行),23.56505,119.56522,434094,24,0,多雲
92,2022/2/1 09:08,"0150deb7d0,0311",U818fd6da9a2a8e5b11cf9562a14849d0,澎湖 朝陽路肉圓,23.57339,119.57697,225587,62,0,風雨
98,2022/2/1 09:59,"0150deb7d0,0387",U818fd6da9a2a8e5b11cf9562a14849d0,純意居蔬食超市,23.57356,119.57634,225688,62,0,風雨
134,2022/2/10 14:08,"0150deb7d0,0289",U818fd6da9a2a8e5b11cf9562a14849d0,抓包．馬公分店,23.5729,119.57694,248875,62,0,陰風 
362,2022/2/13 18:58,"0150deb7d0,0144",U818fd6da9a2a8e5b11cf9562a14849d0,小小間,23.57003,119.56901,259769,62,0,陰雨
1006,2022/2/22 13:31,"0150deb7d0,0040",U818fd6da9a2a8e5b11cf9562a14849d0,自由塔,23.56993769,119.5713121,287194,62,0,雨
4465,2022/4/20 20:46,"0150deb7d0,0107",U818fd6da9a2a8e5b11cf9562a14849d0,真鮮味小吃部,119.56491,119.56929,459921,62,0,陰多雲
5103,2022/4/9 09:04,"0150deb7d0,0177",U818fd6da9a2a8e5b11cf9562a14849d0,夏天茶飲,23.57184,119.57075,426792,62,0,晴
1752,2022/2/6 20:24,"0150deb7d0,0165",U1f2baccfa1b2d88b8f29575722fb2121,熊掌心健康果茶,23.56358,119.56499,239788,42,0,風
2890,2022/3/20 19:43,"0150deb7d0,0292",U1f2baccfa1b2d88b8f29575722fb2121,Mr.大雞,23.57226,119.57626,370226,42,0,陰雨
4769,2022/4/3 11:48,"0150deb7d0,0179",U1f2baccfa1b2d88b8f29575722fb2121,祥馨鮮鮮果舖,23.57336,119.57256,410778,42,0,陰風
4770,2022/4/3 12:04,"0150deb7d0,0249",U1f2baccfa1b2d88b8f29575722fb2121,秋喜肉蛋吐司,23.56867,119.5675,410810,42,0,陰風
103,2022/2/10 13:28,"0150deb7d0,0057",U69b0447bac1e28d81d936460bb471e45,澎湖海洋地質公園中心(1F),23.56642,119.57891,248767,60,1,陰風 
107,2022/2/10 10:47,"0150deb7d0,0074",Udc2acab56b09deeed9ec2d76a1fd169e,媽宮海產行到了！,23.56491,119.56533,248278,80,1,陰風 
551,2022/2/16 22:53,"0150deb7d0,0291",Udc2acab56b09deeed9ec2d76a1fd169e,天津蔥抓餅,23.57431,119.5792,269836,80,1,陰風 
1100,2022/2/23 23:08,"0150deb7d0,0442",Udc2acab56b09deeed9ec2d76a1fd169e,佶肯美式漢堡炸雞,23.56354,119.56659,292456,80,1,中雨風
1876,2022/2/8 00:07,"0150deb7d0,0258",Udc2acab56b09deeed9ec2d76a1fd169e,曬食光餐飲店,23.56639,119.56396,242836,80,1,風
1885,2022/2/8 14:50,"0150deb7d0,0157",Udc2acab56b09deeed9ec2d76a1fd169e,鮮食堂海鮮蒸鍋,23.56566,119.56462,244370,80,1,風
2279,2022/3/12 11:56,"0150deb7d0,0335",Udc2acab56b09deeed9ec2d76a1fd169e,外婆麵猴,23.57246,119.57467,344696,80,1,晴
2432,2022/3/14 20:54,"0150deb7d0,0371",Udc2acab56b09deeed9ec2d76a1fd169e,阿鳳牛肉河粉,23.57142,119.57239,352144,80,1,陰
2868,2022/3/20 14:53,"0150deb7d0,0021",Udc2acab56b09deeed9ec2d76a1fd169e,希望天地珊瑚珍珠,23.56519326,119.5675032,369178,80,1,陰雨
3392,2022/3/3 15:38,"0150deb7d0,0231",Udc2acab56b09deeed9ec2d76a1fd169e,青泉豆花,23.57472,119.57821,316852,80,1,晴
3529,2022/3/31 21:39,"0150deb7d0,0307",Udc2acab56b09deeed9ec2d76a1fd169e,世軒西點麵包????,23.57275,119.57417,403265,80,1,陰風
3823,2022/3/9 13:13,"0150deb7d0,0095",Udc2acab56b09deeed9ec2d76a1fd169e,海城上湯鮮魚粥飯麵館,23.57711,119.57021,335005,80,1,晴多雲
4213,2022/4/16 13:20,"0150deb7d0,0298",Udc2acab56b09deeed9ec2d76a1fd169e,小蘑菇義大利麵,23.56716,119.56465,447776,80,1,風
4437,2022/4/20 23:09,"0150deb7d0,0152",Udc2acab56b09deeed9ec2d76a1fd169e,邁泰MAI TAI THAI TEA,23.56667,119.56486,460197,80,1,陰多雲
4802,2022/4/30 12:11,"0150deb7d0,0295",Udc2acab56b09deeed9ec2d76a1fd169e,獨領風騷,23.56815,119.56751,481734,80,1,風
109,2022/2/10 23:01,"0150deb7d0,0252",U38c7bdd36eb764384f5a6071a362651f,飛特潛艦Victor Johni’R,23.56737,119.56745,250682,25,0,陰風 
112,2022/2/10 23:05,"0150deb7d0,0144",U38c7bdd36eb764384f5a6071a362651f,小小間,23.57003,119.56901,250694,25,0,陰風 
113,2022/2/10 23:12,"0150deb7d0,0177",U38c7bdd36eb764384f5a6071a362651f,夏天茶飲,23.57184,119.57075,250704,25,0,陰風 
114,2022/2/10 23:28,"0150deb7d0,0371",U38c7bdd36eb764384f5a6071a362651f,阿鳳牛肉河粉,23.57142,119.57239,250724,25,0,陰風 
934,2022/2/21 22:25,"0150deb7d0,0142",U38c7bdd36eb764384f5a6071a362651f,High wave pizza,23.56532,119.56466,285905,25,0,雨
1694,2022/2/6 22:49,"0150deb7d0,0332",U38c7bdd36eb764384f5a6071a362651f,小螞蟻牛排,23.56836,119.56831,240057,25,0,風
2153,2022/3/10 22:57,"0150deb7d0,0290",U38c7bdd36eb764384f5a6071a362651f,老餅新料蔥油餅,23.57605,119.57486,340406,25,0,晴
2866,2022/3/20 23:33,"0150deb7d0,0134",U38c7bdd36eb764384f5a6071a362651f,呷飽飽燒烤屋,23.57558,119.58025,370635,25,0,陰雨
3131,2022/3/25 17:58,"0150deb7d0,0207",U38c7bdd36eb764384f5a6071a362651f,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,385183,25,0,陰
3535,2022/3/4 13:12,"0150deb7d0,0150",U38c7bdd36eb764384f5a6071a362651f,好享吃小火鍋,23.56745,119.56641,319433,25,0,晴
3547,2022/3/4 12:19,"0150deb7d0,0237",U38c7bdd36eb764384f5a6071a362651f,振發食品行,23.56413,119.5642,319271,25,0,晴
4356,2022/4/19 22:49,"0150deb7d0,0068",U38c7bdd36eb764384f5a6071a362651f,弗洛伊得飲酒店,23.56755,119.56811,457317,25,0,雨風
4357,2022/4/19 22:53,"0150deb7d0,0386",U38c7bdd36eb764384f5a6071a362651f,四季肉圓專賣店,23.57334,119.57233,457325,25,0,雨風
4358,2022/4/19 22:54,"0150deb7d0,0436",U38c7bdd36eb764384f5a6071a362651f,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,457326,25,0,雨風
4521,2022/4/22 17:30,"0150deb7d0,0231",U38c7bdd36eb764384f5a6071a362651f,青泉豆花,23.57472,119.57821,464089,25,0,晴雨
4526,2022/4/22 19:34,"0150deb7d0,0311",U38c7bdd36eb764384f5a6071a362651f,澎湖 朝陽路肉圓,23.57339,119.57697,464410,25,0,晴雨
4527,2022/4/22 19:49,"0150deb7d0,0291",U38c7bdd36eb764384f5a6071a362651f,天津蔥抓餅,23.57431,119.5792,464450,25,0,晴雨
4860,2022/4/4 19:58,"0150deb7d0,0244",U38c7bdd36eb764384f5a6071a362651f,三ㄚ店&潮style,23.56705,119.56538,414595,25,0,風
4861,2022/4/4 19:59,"0150deb7d0,0395",U38c7bdd36eb764384f5a6071a362651f,大口香雞排,23.56719,119.56471,414601,25,0,風
4930,2022/4/6 00:12,"0150deb7d0,0359",U38c7bdd36eb764384f5a6071a362651f,Bella調酒專賣店,23.56855353,119.567152,417744,25,0,風
110,2022/2/10 11:04,"0150deb7d0,0393",Ub248b130077deabae7f715d3c6eac3f9,紐西蘭牛排館,23.57295,119.57542,248298,48,1,陰風 
1780,2022/2/7 23:50,"0150deb7d0,0144",Ub248b130077deabae7f715d3c6eac3f9,小小間,23.57003,119.56901,242820,48,1,雨
1982,2022/2/9 15:16,"0150deb7d0,0221",Ub248b130077deabae7f715d3c6eac3f9,回鄉餐館-(義大利麵 濃湯 炒飯 便當),23.56406,119.58901,246762,48,1,風
2799,2022/3/2 14:10,"0150deb7d0,0338",Ub248b130077deabae7f715d3c6eac3f9,曾記滿福堂擔仔麵,23.57406,119.57323,313056,48,1,風
2960,2022/3/22 13:50,"0150deb7d0,0311",Ub248b130077deabae7f715d3c6eac3f9,澎湖 朝陽路肉圓,23.57339,119.57697,374951,48,1,陰雨
4558,2022/4/24 22:02,"0150deb7d0,0179",Ub248b130077deabae7f715d3c6eac3f9,祥馨鮮鮮果舖,23.57336,119.57256,469234,48,1,晴
4559,2022/4/24 22:06,"0150deb7d0,0152",Ub248b130077deabae7f715d3c6eac3f9,邁泰MAI TAI THAI TEA,23.56667,119.56486,469244,48,1,晴
413,2022/2/14 18:00,"0150deb7d0,0258",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,曬食光餐飲店,23.56639,119.56396,262648,40,0,陰風 
690,2022/2/18 11:55,"0150deb7d0,0298",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,小蘑菇義大利麵,23.56716,119.56465,274448,40,0,陰雨
691,2022/2/18 12:00,"0150deb7d0,0288",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,皮克吐司,23.56714,119.56467,274455,40,0,陰雨
1872,2022/2/8 11:57,"0150deb7d0,0134",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,呷飽飽燒烤屋,23.57558,119.58025,243695,40,0,風
1943,2022/2/8 21:24,"0150deb7d0,0218",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,滷底撈-澎湖店,23.56499,119.58107,245683,40,0,風
2036,2022/3/1 13:13,"0150deb7d0,0336",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,品川元麻辣串串,23.56319,119.59046,309842,40,0,多雲陰
2131,2022/3/1 09:32,"0150deb7d0,0160",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,海玩子雞蛋糕,23.56997,119.56894,309115,40,0,多雲陰
2136,2022/3/1 09:38,"0150deb7d0,0197",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,嚐香聚牛肉麵,23.57425,119.57308,309127,40,0,多雲陰
2137,2022/3/1 09:46,"0150deb7d0,0149",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,拾捌度C鮮果茶飲站,23.57436,119.5795,309146,40,0,多雲陰
2681,2022/3/18 14:46,"0150deb7d0,0016",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,海島海產大賣場,23.56576883,119.5655136,363405,40,0,陰
3538,2022/3/4 10:50,"0150deb7d0,0249",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,秋喜肉蛋吐司,23.56867,119.5675,318968,40,0,晴
3539,2022/3/4 23:08,"0150deb7d0,0207",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,321451,40,0,晴
3652,2022/3/6 23:35,"0150deb7d0,0068",U1f2b4b1bec2ce6ae1a36b1d0ff6a886e,弗洛伊得飲酒店,23.56755,119.56811,327171,40,0,風   雨
118,2022/2/10 11:46,"0150deb7d0,0144",U898548b221dd0e23c4624e82ccaf6fb4,小小間,23.57003,119.56901,248393,40,0,陰風 
272,2022/2/12 13:30,"0150deb7d0,0149",U898548b221dd0e23c4624e82ccaf6fb4,拾捌度C鮮果茶飲站,23.57436,119.5795,255168,40,0,風
485,2022/2/15 14:46,"0150deb7d0,0216",U898548b221dd0e23c4624e82ccaf6fb4,新巴適經典麻辣鍋,23.57179,119.57882,265154,40,0,陰風 
2301,2022/3/12 17:29,"0150deb7d0,0027",U898548b221dd0e23c4624e82ccaf6fb4,五鮮上醬海產專賣,23.56580466,119.5654261,345782,40,0,晴
2303,2022/3/12 17:50,"0150deb7d0,0123",U898548b221dd0e23c4624e82ccaf6fb4,源利軒黑糖糕老店,23.56572,119.56496,345837,40,0,晴
3462,2022/3/30 19:23,"0150deb7d0,0240",U898548b221dd0e23c4624e82ccaf6fb4,文化路蔥油餅,23.56825,119.56753,400250,40,0,多雲
3465,2022/3/30 19:29,"0150deb7d0,0401",U898548b221dd0e23c4624e82ccaf6fb4,駱哥港式點心,23.56584,119.56856,400272,40,0,多雲
3904,2022/4/1 10:39,"0150deb7d0,0139",U898548b221dd0e23c4624e82ccaf6fb4,紫光複合式餐飲,23.56601,119.56687,404290,40,0,風
3905,2022/4/1 10:47,"0150deb7d0,0207",U898548b221dd0e23c4624e82ccaf6fb4,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,404315,40,0,風
4718,2022/4/28 17:27,"0150deb7d0,0236",U898548b221dd0e23c4624e82ccaf6fb4,菊楓食堂日式料理,23.57538,119.58058,479318,40,0,陰晴
4902,2022/4/5 18:51,"0150deb7d0,0249",U898548b221dd0e23c4624e82ccaf6fb4,秋喜肉蛋吐司,23.56867,119.5675,417115,40,0,陰多雲
5091,2022/4/9 18:06,"0150deb7d0,0175",U898548b221dd0e23c4624e82ccaf6fb4,吳記沙拉船&好記蔬食鹽水雞,23.57226,119.57102,428309,40,0,晴
5093,2022/4/9 18:16,"0150deb7d0,0226",U898548b221dd0e23c4624e82ccaf6fb4,津旺素食,23.56742,119.5681,428325,40,0,晴
459,2022/2/15 22:56,"0150deb7d0,0143",Uac8f1738516975144175970d61cd80a6,14巷復刻飛鏢餐館,23.56589,119.5663,266483,63,0,陰風 
461,2022/2/15 23:05,"0150deb7d0,0016",Uac8f1738516975144175970d61cd80a6,海島海產大賣場,23.56576883,119.5655136,266498,63,0,陰風 
463,2022/2/15 23:32,"0150deb7d0,0083",Uac8f1738516975144175970d61cd80a6,海功商號(波霸花枝丸、月亮蝦餅、當季海鮮宅配),23.56542,119.56562,266541,63,0,陰風 
521,2022/2/15 19:25,"0150deb7d0,0132",Uac8f1738516975144175970d61cd80a6,花菜幹,23.5644309,119.5867029,266026,63,0,陰風 
913,2022/2/20 18:05,"0150deb7d0,0338",Uac8f1738516975144175970d61cd80a6,曾記滿福堂擔仔麵,23.57406,119.57323,282076,63,0,風轉小雨
1359,2022/2/27 12:37,"0150deb7d0,0291",Uac8f1738516975144175970d61cd80a6,天津蔥抓餅,23.57431,119.5792,303149,63,0,陰風 
1416,2022/2/27 21:13,"0150deb7d0,0177",Uac8f1738516975144175970d61cd80a6,夏天茶飲,23.57184,119.57075,304998,63,0,陰風 
1946,2022/2/8 09:29,"0150deb7d0,0328",Uac8f1738516975144175970d61cd80a6,瑞師父海菜煎餅,23.56579,119.56542,243202,63,0,風
2429,2022/3/14 20:19,"0150deb7d0,0436",Uac8f1738516975144175970d61cd80a6,味真香新港鴨肉羹臭豆腐,23.57536,119.57442,352028,63,0,陰
2755,2022/3/19 18:10,"0150deb7d0,0090",Uac8f1738516975144175970d61cd80a6,家竹黑砂糖冷熱飲店,23.56518,119.58183,367246,63,0,多雲風
3104,2022/3/24 21:33,"0150deb7d0,0160",Uac8f1738516975144175970d61cd80a6,海玩子雞蛋糕,23.56997,119.56894,382502,63,0,小雨陰
3412,2022/3/3 19:10,"0150deb7d0,0069",Uac8f1738516975144175970d61cd80a6,岩田丼屋歡迎您！,23.57708,119.57257,317625,63,0,晴
3422,2022/3/3 20:16,"0150deb7d0,0072",Uac8f1738516975144175970d61cd80a6,日香美食坊歡迎您～,23.57466,119.5768,317897,63,0,晴
3661,2022/3/6 15:05,"0150deb7d0,0282",Uac8f1738516975144175970d61cd80a6,新臺澎海產購物中心,23.56733,119.56717,325595,63,0,風   雨
4107,2022/4/13 18:16,"0150deb7d0,0246",Uac8f1738516975144175970d61cd80a6,達咖啡,23.56737,119.56745,440357,63,0,晴
127,2022/2/10 12:31,"0150deb7d0,0016",Ubaf58e50e1a0f6cf64739737b2398b0f,海島海產大賣場,23.56576883,119.5655136,248543,20,1,陰風 
938,2022/2/21 11:55,"0150deb7d0,0252",Ubaf58e50e1a0f6cf64739737b2398b0f,飛特潛艦Victor Johni’R,23.56737,119.56745,283541,20,1,雨
940,2022/2/21 12:22,"0150deb7d0,0179",Ubaf58e50e1a0f6cf64739737b2398b0f,祥馨鮮鮮果舖,23.57336,119.57256,283621,20,1,雨
1297,2022/2/26 13:12,"0150deb7d0,0412",Ubaf58e50e1a0f6cf64739737b2398b0f,四方早餐店,23.56619,119.58263,300207,20,1,多雲晴
130,2022/2/10 12:35,"0150deb7d0,0227",Ua5d612b844f3c29bede3e6e5528797f5,小林包子饅頭店,23.5685,119.56895,248560,59,0,陰風 
274,2022/2/12 22:14,"0150deb7d0,0336",Ua5d612b844f3c29bede3e6e5528797f5,品川元麻辣串串,23.56319,119.59046,257089,59,0,風
618,2022/2/17 13:18,"0150deb7d0,0373",Ua5d612b844f3c29bede3e6e5528797f5,美德西點麵包店,23.5706,119.57208,271042,59,0,風
621,2022/2/17 13:43,"0150deb7d0,0338",Ua5d612b844f3c29bede3e6e5528797f5,曾記滿福堂擔仔麵,23.57406,119.57323,271124,59,0,風
780,2022/2/19 17:52,"0150deb7d0,0144",Ua5d612b844f3c29bede3e6e5528797f5,小小間,23.57003,119.56901,279073,59,0,風轉小雨
1018,2022/2/22 11:52,"0150deb7d0,0057",Ua5d612b844f3c29bede3e6e5528797f5,澎湖海洋地質公園中心(1F),23.56642,119.57891,286875,59,0,雨
1020,2022/2/22 12:01,"0150deb7d0,0032",Ua5d612b844f3c29bede3e6e5528797f5,澎湖伯伴手禮坊,23.57123973,119.5799884,286919,59,0,雨
1040,2022/2/22 15:29,"0150deb7d0,0040",Ua5d612b844f3c29bede3e6e5528797f5,自由塔,23.56993769,119.5713121,287723,59,0,雨
1167,2022/2/24 10:13,"0150deb7d0,0207",Ua5d612b844f3c29bede3e6e5528797f5,禦私藏鮮奶茶專賣店（澎湖店）,23.56735,119.56787,292957,59,0,風
1168,2022/2/24 10:14,"0150deb7d0,0160",Ua5d612b844f3c29bede3e6e5528797f5,海玩子雞蛋糕,23.56997,119.56894,292967,59,0,風
1169,2022/2/24 10:32,"0150deb7d0,0372",Ua5d612b844f3c29bede3e6e5528797f5,ㄇㄇ的臭豆腐,23.55258,119.61097,293009,59,0,風
1357,2022/2/27 12:15,"0150deb7d0,0049",Ua5d612b844f3c29bede3e6e5528797f5,跨海大橋(西嶼端),23.63923913,119.5405206,303065,59,0,陰風 
1503,2022/2/3 10:27,"0150deb7d0,0026",Ua5d612b844f3c29bede3e6e5528797f5,媽宮食品工廠,23.56186091,119.5803374,230580,59,0,風轉小雨
1506,2022/2/3 10:39,"0150deb7d0,0109",Ua5d612b844f3c29bede3e6e5528797f5,萬泰食品,23.57515,119.56779,230605,59,0,風轉小雨
1542,2022/2/3 19:42,"0150deb7d0,0252",Ua5d612b844f3c29bede3e6e5528797f5,飛特潛艦Victor Johni’R,23.56737,119.56745,232004,59,0,風轉小雨
1544,2022/2/3 19:46,"0150deb7d0,0441",Ua5d612b844f3c29bede3e6e5528797f5,本家食堂日式料理,23.57544,119.57445,232017,59,0,風轉小雨
1956,2022/2/9 11:08,"0150deb7d0,0381",Ua5d612b844f3c29bede3e6e5528797f5,信誼海產,23.571,119.57133,246229,59,0,風
1960,2022/2/9 11:42,"0150deb7d0,0177",Ua5d612b844f3c29bede3e6e5528797f5,夏天茶飲,23.57184,119.57075,246283,59,0,風
2878,2022/3/20 17:17,"0150deb7d0,0386",Ua5d612b844f3c29bede3e6e5528797f5,四季肉圓專賣店,23.57334,119.57233,369748,59,0,陰雨
2900,2022/3/20 09:24,"0150deb7d0,0038",Ua5d612b844f3c29bede3e6e5528797f5,石滬廣場站,23.56312198,119.5648365,368380,59,0,陰雨
3003,2022/3/22 18:41,"0150deb7d0,0076",Ua5d612b844f3c29bede3e6e5528797f5,雲泰小吃館,23.52277,119.59982,376066,59,0,陰雨
3155,2022/3/26 12:19,"0150deb7d0,0244",Ua5d612b844f3c29bede3e6e5528797f5,三ㄚ店&潮style,23.56705,119.56538,387014,59,0,多雲轉小雨
3272,2022/3/28 18:23,"0150deb7d0,0360",Ua5d612b844f3c29bede3e6e5528797f5,芳遠水果行,23.56751,119.56721,394099,59,0,雨
3744,2022/3/7 18:32,"0150deb7d0,0412",Ua5d612b844f3c29bede3e6e5528797f5,四方早餐店,23.56619,119.58263,329428,59,0,陰風
131,2022/2/10 12:42,"0150deb7d0,0426",Ubf9613667a2d109d9f26efb31b8cc1e3,秋禾家和風創意料理,23.56187,119.58124,248592,45,0,陰風 
467,2022/2/15 11:55,"0150deb7d0,0116",Ubf9613667a2d109d9f26efb31b8cc1e3,金醬府,23.56734,119.5729,264522,45,0,陰風 
472,2022/2/15 12:35,"0150deb7d0,0258",Ubf9613667a2d109d9f26efb31b8cc1e3,曬食光餐飲店,23.56639,119.56396,264629,45,0,陰風 
474,2022/2/15 12:40,"0150deb7d0,0298",Ubf9613667a2d109d9f26efb31b8cc1e3,小蘑菇義大利麵,23.56716,119.56465,264648,45,0,陰風 
988,2022/2/21 20:11,"0150deb7d0,0291",Ubf9613667a2d109d9f26efb31b8cc1e3,天津蔥抓餅,23.57431,119.5792,285571,45,0,雨
2675,2022/3/18 12:35,"0150deb7d0,0149",Ubf9613667a2d109d9f26efb31b8cc1e3,拾捌度C鮮果茶飲站,23.57436,119.5795,363032,45,0,陰
2676,2022/3/18 12:36,"0150deb7d0,0289",Ubf9613667a2d109d9f26efb31b8cc1e3,抓包．馬公分店,23.5729,119.57694,363035,45,0,陰
4331,2022/4/18 19:20,"0150deb7d0,0367",Ubf9613667a2d109d9f26efb31b8cc1e3,丁丁川菜海鮮館,23.56354,119.56626,454176,45,0,陰風
132,2022/2/10 12:48,"0150deb7d0,0091",U7f8cc11658910a8d1e4cbb29fdd94e25,玻玻飲食店,23.57971,119.57924,248598,66,0,陰風 
374,2022/2/13 08:17,"0150deb7d0,0309",U7f8cc11658910a8d1e4cbb29fdd94e25,澎湖樂晨早午餐,23.57313,119.57701,257732,66,0,陰雨
376,2022/2/13 08:39,"0150deb7d0,0036",U7f8cc11658910a8d1e4cbb29fdd94e25,岩質咖啡,23.56646069,119.5790493,257767,66,0,陰雨
872,2022/2/2 20:14,"0150deb7d0,0372",U7f8cc11658910a8d1e4cbb29fdd94e25,ㄇㄇ的臭豆腐,23.55258,119.61097,229667,66,0,陰風 
1462,2022/2/28 17:29,"0150deb7d0,0311",U7f8cc11658910a8d1e4cbb29fdd94e25,澎湖 朝陽路肉圓,23.57339,119.57697,307363,66,0,晴多雲
1464,2022/2/28 17:35,"0150deb7d0,0216",U7f8cc11658910a8d1e4cbb29fdd94e25,新巴適經典麻辣鍋,23.57179,119.57882,307400,66,0,晴多雲
