no,Time 秒,UserID/MemID,設置點,緯度,經度,BPL UID
141,2/2/2022 4:16:30 PM,Ud42106e5f373e119fc111a8d67b464f1,石滬廣場站,23.56312198,119.5648365,228947
142,2/2/2022 4:28:23 PM,U181657e7c3044a6c151f5554c2de1613,麗洋手作蛋糕,23.56431,119.56464,228986
143,2/2/2022 4:30:16 PM,U898548b221dd0e23c4624e82ccaf6fb4,茶的魔手,23.57178,119.57055,228991
144,2/2/2022 4:51:53 PM,Ue573c8328a00a6bb23fec48a3b747101,懶人披薩雞排,23.56375,119.5644,229029
145,2/2/2022 4:58:39 PM,U16884c894357fdf20860f6ecee558d7f,小小間,23.57003,119.56901,229046
146,2/2/2022 5:32:39 PM,Ud396de5c092143ad087e50d3fbcd042d,自由塔,23.56993769,119.5713121,229182
147,2/2/2022 5:52:41 PM,U87c00daa10687a8c7db52939e4cb999b,澎漁宴餐廳,23.56625705,119.5690162,229229
148,2/2/2022 5:52:43 PM,U549d83ded5aae205862d9454360f140e,飛特潛艦Victor Johni’R,23.56737,119.56745,229230
149,2/2/2022 5:56:14 PM,U0d5a39ecd31b0b2b63f941e2d03cb796,菲菲檸檬,23.57352,119.57246,229238
150,2/2/2022 5:57:37 PM,U410a9008b1cf495925182f84ce1f204e,日香美食坊歡迎您～,23.57466,119.5768,229240
151,2/2/2022 5:58:08 PM,U549d83ded5aae205862d9454360f140e,晴天餐飲店,23.56892806,119.5708262,229244
152,2/2/2022 6:01:11 PM,U549d83ded5aae205862d9454360f140e,三壘手兒童服飾店,23.57172,119.57068,229252
153,2/2/2022 6:37:21 PM,Ue7237672494c6a4bbebedf37072e668a,真鮮味小吃部,119.56491,119.56929,229367
154,2/2/2022 6:45:58 PM,Ud6016814bc5cf8d901a6914526d3f1ca,澎湖樂法Le Phare,23.5652,119.56654,229396
155,2/2/2022 6:48:56 PM,Ud6016814bc5cf8d901a6914526d3f1ca,小螞蟻牛排,23.56836,119.56831,229403
156,2/2/2022 6:50:08 PM,Ud6016814bc5cf8d901a6914526d3f1ca,海玩子雞蛋糕,23.56997,119.56894,229404
157,2/2/2022 6:53:58 PM,Ud6016814bc5cf8d901a6914526d3f1ca,四季肉圓專賣店,23.57334,119.57233,229414
158,2/2/2022 7:01:26 PM,U3404039d365530b0fa956fe36d03d68b,茶的魔手,23.57178,119.57055,229437
159,2/2/2022 7:06:35 PM,U6bf4651fe0c4366d9d8e8306c9e32994,阿鳳牛肉河粉,23.57142,119.57239,229449
